Mean of Bot Competance Dstbn,Variance of Bot Competance Dstbn,Bot Only Levenshtein Distance,Align Consensus Levenshtein Distance
0,0.0,80,80
1,0.01,78,80
1,0.02,77,78
1,0.03,78,80
1,0.04,79,82
1,0.05,79,79
1,0.060000000000000005,80,80
1,0.07,82,80
1,0.08,80,81
1,0.09,80,80
1,0.09999999999999999,84,79
1,0.10999999999999999,81,79
1,0.11999999999999998,83,81
1,0.12999999999999998,82,81
1,0.13999999999999999,82,79
1,0.15,81,82
1,0.16,82,80
1,0.17,83,82
1,0.18000000000000002,84,83
1,0.19000000000000003,84,81
1,0.20000000000000004,87,81
1,0.21000000000000005,85,83
1,0.22000000000000006,83,82
1,0.23000000000000007,92,84
1,0.24000000000000007,87,83
1,0.25000000000000006,88,86
1,0.26000000000000006,85,83
1,0.2700000000000001,88,84
1,0.2800000000000001,91,82
1,0.2900000000000001,89,84
1,0.3000000000000001,88,82
1,0.3100000000000001,90,85
1,0.3200000000000001,85,82
1,0.3300000000000001,86,82
1,0.34000000000000014,85,82
1,0.35000000000000014,89,82
1,0.36000000000000015,89,83
1,0.37000000000000016,85,83
1,0.38000000000000017,91,84
1,0.3900000000000002,85,80
1,0.4000000000000002,91,84
1,0.4100000000000002,89,81
1,0.4200000000000002,97,85
1,0.4300000000000002,94,86
1,0.4400000000000002,92,84
1,0.45000000000000023,90,82
1,0.46000000000000024,91,84
1,0.47000000000000025,92,85
1,0.48000000000000026,89,85
1,0.49000000000000027,93,84
1,0.5000000000000002,90,84
1,0.5100000000000002,95,84
1,0.5200000000000002,95,84
1,0.5300000000000002,97,87
1,0.5400000000000003,92,84
1,0.5500000000000003,90,83
1,0.5600000000000003,89,84
1,0.5700000000000003,92,85
1,0.5800000000000003,91,85
1,0.5900000000000003,94,84
1,0.6000000000000003,90,84
1,0.6100000000000003,92,83
1,0.6200000000000003,91,82
1,0.6300000000000003,96,87
1,0.6400000000000003,92,86
1,0.6500000000000004,95,85
1,0.6600000000000004,90,87
1,0.6700000000000004,92,81
1,0.6800000000000004,93,83
1,0.6900000000000004,94,85
1,0.7000000000000004,91,85
1,0.7100000000000004,97,82
1,0.7200000000000004,97,86
1,0.7300000000000004,95,85
1,0.7400000000000004,93,85
1,0.7500000000000004,93,85
1,0.7600000000000005,92,88
1,0.7700000000000005,94,83
1,0.7800000000000005,97,88
1,0.7900000000000005,95,85
1,0.8000000000000005,95,85
1,0.8100000000000005,97,86
1,0.8200000000000005,93,86
1,0.8300000000000005,94,87
1,0.8400000000000005,95,84
1,0.8500000000000005,93,83
1,0.8600000000000005,93,84
1,0.8700000000000006,100,88
1,0.8800000000000006,93,85
1,0.8900000000000006,92,83
1,0.9000000000000006,93,86
1,0.9100000000000006,94,85
1,0.9200000000000006,96,86
1,0.9300000000000006,91,83
1,0.9400000000000006,98,86
1,0.9500000000000006,99,87
1,0.9600000000000006,100,87
1,0.9700000000000006,92,86
1,0.9800000000000006,97,86
1,0.9900000000000007,96,87
1,1.0000000000000007,103,94
0,1.0000000000000007,96,86
0,0.9900000000000007,99,89
0,0.9800000000000006,97,88
0,0.9700000000000006,96,84
0,0.9600000000000006,106,87
0,0.9500000000000006,100,85
0,0.9400000000000006,98,87
0,0.9300000000000006,101,85
0,0.9200000000000006,101,89
0,0.9100000000000006,99,86
0,0.9000000000000006,108,88
0,0.8900000000000006,101,89
0,0.8800000000000006,102,87
0,0.8700000000000006,100,85
0,0.8600000000000005,102,88
0,0.8500000000000005,100,88
0,0.8400000000000005,100,87
0,0.8300000000000005,100,86
0,0.8200000000000005,102,90
0,0.8100000000000005,103,89
0,0.8000000000000005,100,86
0,0.7900000000000005,101,85
0,0.7800000000000005,104,87
0,0.7700000000000005,103,91
0,0.7600000000000005,101,88
0,0.7500000000000004,106,88
0,0.7400000000000004,103,89
0,0.7300000000000004,99,85
0,0.7200000000000004,103,88
0,0.7100000000000004,104,89
0,0.7000000000000004,102,85
0,0.6900000000000004,102,90
0,0.6800000000000004,103,88
0,0.6700000000000004,102,88
0,0.6600000000000004,98,87
0,0.6500000000000004,101,84
0,0.6400000000000003,104,87
0,0.6300000000000003,106,90
0,0.6200000000000003,101,89
0,0.6100000000000003,101,89
0,0.6000000000000003,103,86
0,0.5900000000000003,101,89
0,0.5800000000000003,105,89
0,0.5700000000000003,106,89
0,0.5600000000000003,99,84
0,0.5500000000000003,101,88
0,0.5400000000000003,103,88
0,0.5300000000000002,103,88
0,0.5200000000000002,103,89
0,0.5100000000000002,97,88
0,0.5000000000000002,105,88
0,0.4900000000000002,100,89
0,0.4800000000000002,103,88
0,0.4700000000000002,103,86
0,0.4600000000000002,104,92
0,0.4500000000000002,101,88
0,0.44000000000000017,103,92
0,0.43000000000000016,106,90
0,0.42000000000000015,106,86
0,0.41000000000000014,108,87
0,0.40000000000000013,108,92
0,0.3900000000000001,104,88
0,0.3800000000000001,102,86
0,0.3700000000000001,105,90
0,0.3600000000000001,107,89
0,0.3500000000000001,103,88
0,0.3400000000000001,105,86
0,0.33000000000000007,105,90
0,0.32000000000000006,107,90
0,0.31000000000000005,106,90
0,0.30000000000000004,105,91
0,0.29000000000000004,109,88
0,0.28,109,91
0,0.27,108,88
0,0.26,110,91
0,0.25,108,93
0,0.24,110,93
0,0.22999999999999998,111,94
0,0.21999999999999997,107,92
0,0.20999999999999996,107,92
0,0.19999999999999996,111,91
0,0.18999999999999995,110,90
0,0.17999999999999994,110,90
0,0.16999999999999993,111,94
0,0.15999999999999992,111,89
0,0.1499999999999999,111,93
0,0.1399999999999999,111,90
0,0.1299999999999999,109,92
0,0.1199999999999999,114,92
0,0.1099999999999999,113,92
0,0.09999999999999991,110,88
0,0.08999999999999991,112,93
0,0.07999999999999992,113,94
0,0.06999999999999992,111,92
0,0.05999999999999992,112,96
0,0.04999999999999992,115,93
0,0.03999999999999992,115,92
0,0.029999999999999916,114,92
0,0.019999999999999914,115,92
0,0.009999999999999913,115,91
