Mean of Bot Competance Dstbn,Variance of Bot Competance Dstbn,Bot Only Levenshtein Distance,Align Consensus Levenshtein Distance
1,0.8100000000000005,96,84
1,0.8200000000000005,99,86
1,0.8300000000000005,95,86
1,0.8400000000000005,99,86
1,0.8500000000000005,94,83
1,0.8600000000000005,92,85
1,0.8700000000000006,92,85
1,0.8800000000000006,97,86
1,0.8900000000000006,97,85
1,0.9000000000000006,96,89
1,0.9100000000000006,97,85
1,0.9200000000000006,94,84
1,0.9300000000000006,104,90
1,0.9400000000000006,98,86
1,0.9500000000000006,96,87
1,0.9600000000000006,101,86
1,0.9700000000000006,93,83
1,0.9800000000000006,93,85
1,0.9900000000000007,95,86
1,1.0000000000000007,100,86
0,1.0000000000000007,94,81
0,0.9900000000000007,98,84
0,0.9800000000000006,97,84
0,0.9700000000000006,104,85
0,0.9600000000000006,102,90
0,0.9500000000000006,100,86
0,0.9400000000000006,101,87
0,0.9300000000000006,100,84
0,0.9200000000000006,98,84
0,0.9100000000000006,98,85
0,0.9000000000000006,96,87
0,0.8900000000000006,102,86
0,0.8800000000000006,97,86
0,0.8700000000000006,99,88
0,0.8600000000000005,99,88
0,0.8500000000000005,101,88
0,0.8400000000000005,103,90
0,0.8300000000000005,94,86
0,0.8200000000000005,101,87
0,0.8100000000000005,98,86
0,0.8000000000000005,102,87
0,0.7900000000000005,99,89
0,0.7800000000000005,105,91
0,0.7700000000000005,100,85
0,0.7600000000000005,98,84
0,0.7500000000000004,97,86
0,0.7400000000000004,104,90
0,0.7300000000000004,103,89
0,0.7200000000000004,96,86
0,0.7100000000000004,97,86
0,0.7000000000000004,97,85
0,0.6900000000000004,98,87
0,0.6800000000000004,99,88
0,0.6700000000000004,103,87
0,0.6600000000000004,100,85
0,0.6500000000000004,102,89
0,0.6400000000000003,105,88
0,0.6300000000000003,104,87
0,0.6200000000000003,96,84
0,0.6100000000000003,100,88
0,0.6000000000000003,105,90
0,0.5900000000000003,99,87
0,0.5800000000000003,103,87
0,0.5700000000000003,104,88
0,0.5600000000000003,103,90
0,0.5500000000000003,104,85
0,0.5400000000000003,105,87
0,0.5300000000000002,104,87
0,0.5200000000000002,100,89
0,0.5100000000000002,101,89
0,0.5000000000000002,101,89
0,0.4900000000000002,98,89
0,0.4800000000000002,105,89
0,0.4700000000000002,104,87
0,0.4600000000000002,104,91
0,0.4500000000000002,100,88
0,0.44000000000000017,106,91
0,0.43000000000000016,98,86
0,0.42000000000000015,102,88
0,0.41000000000000014,99,88
0,0.40000000000000013,106,92
0,0.3900000000000001,107,88
0,0.3800000000000001,102,85
0,0.3700000000000001,103,90
0,0.3600000000000001,105,92
0,0.3500000000000001,103,85
0,0.3400000000000001,110,88
0,0.33000000000000007,105,88
0,0.32000000000000006,104,89
0,0.31000000000000005,105,92
0,0.30000000000000004,105,92
0,0.29000000000000004,105,89
0,0.28,108,93
0,0.27,108,92
0,0.26,107,89
0,0.25,107,91
0,0.24,106,92
0,0.22999999999999998,107,90
0,0.21999999999999997,107,89
0,0.20999999999999996,103,88
0,0.19999999999999996,106,91
0,0.18999999999999995,105,90
0,0.17999999999999994,107,92
0,0.16999999999999993,110,89
0,0.15999999999999992,111,94
0,0.1499999999999999,111,91
0,0.1399999999999999,108,91
0,0.1299999999999999,109,93
0,0.1199999999999999,110,92
0,0.1099999999999999,112,92
0,0.09999999999999991,111,90
0,0.08999999999999991,109,91
0,0.07999999999999992,109,91
0,0.06999999999999992,112,93
0,0.05999999999999992,107,90
0,0.04999999999999992,111,92
0,0.03999999999999992,111,95
0,0.029999999999999916,112,96
0,0.019999999999999914,112,93
0,0.009999999999999913,112,93
